FACILITY_ID,YEAR,SUBPART_NAME,CO2E_EMISSION
1000035,2010,C,677.5
1000037,2010,C,7542.3
1000040,2010,C,9446.9
1000046,2010,C,4299.2
1000047,2010,C,138993.1
1000062,2010,C,4283.8
1000066,2010,C,74261.0
1000079,2010,C,1.2
1000166,2010,AA,551091.2
1000166,2010,C,203076.0
1000183,2010,AA,537620.0
1000183,2010,C,330992.0
1000194,2010,C,26137.9
1000196,2010,AA,666747.2
1000196,2010,C,423436.7
1000211,2010,C,94481.9
1000219,2010,C,93778.3
1000227,2010,C,354434.3
1000228,2010,AA,717210.4
1000228,2010,C,25171.3
1000229,2010,AA,1087114.0
1000229,2010,C,690337.0
1000230,2010,AA,1173613.4
1000230,2010,C,35486.3
1000232,2010,C,33057.0
1000234,2010,C,26.0
1000240,2010,C,112688.5
1000242,2010,C,25595.0
1000256,2010,AA,1344811.4
1000256,2010,C,36712.1
1000258,2010,AA,226768.2
1000258,2010,C,109624.7
1000262,2010,AA,1093955.0
1000262,2010,C,926730.4
1000273,2010,AA,61773.0
1000273,2010,C,161847.0
1000285,2010,D,561483.7
1000293,2010,C,444856.0
1000304,2010,C,1450.1
1000305,2010,AA,395738.0
1000311,2010,AA,652016.2
1000311,2010,C,740028.1
1000319,2010,AA,777063.0
1000319,2010,C,689364.0
1000324,2010,AA,773256.0
1000324,2010,C,203454.0
1000325,2010,C,6481.3
1000341,2010,C,57202.1
1000345,2010,AA,1337281.8
1000345,2010,C,496379.1
1000348,2010,AA,1109535.5
1000348,2010,C,420471.9
1000353,2010,AA,3972.2
1000353,2010,C,6395.0
1000356,2010,C,4628.3
1000357,2010,C,8571.0
1000362,2010,C,263.7
1000377,2010,AA,1512554.4
1000377,2010,C,437816.7
1000391,2010,C,62785.0
1000398,2010,C,1.2
1000401,2010,C,7879.0
1000426,2010,AA,971077.5
1000426,2010,C,399095.0
1000428,2010,C,298591.2
1000434,2010,AA,544410.2
1000434,2010,C,238742.4
1000496,2010,C,1561.4
1000564,2010,C,34335.7
1000589,2010,C,58721.0
1000593,2010,AA,848179.0
1000593,2010,C,284485.0
1000601,2010,C,1614.4
1000602,2010,AA,752074.1
1000602,2010,C,434007.9
1000610,2010,C,10607.0
1000623,2010,C,307107.2
1000624,2010,AA,625025.0
1000624,2010,C,312517.0
1000633,2010,H,1829.0
1000634,2010,C,0.8
1000637,2010,C,12.3
1000698,2010,D,290.4
1000709,2010,D,6438.8
1000730,2010,D,472218.0
1000780,2010,C,0.4
1000855,2010,C,10395.0
1000961,2010,AA,926874.4
1000961,2010,C,459186.0
1000978,2010,D,282819.3
1000983,2010,D,965.3
1000984,2010,D,5692.0
1000987,2010,D,26248.4
1000989,2010,D,95299.2
1001000,2010,C,298062.0
1001056,2010,C,15.4
1001090,2010,C,1554.5
1001120,2010,C,244722.0
1001127,2010,D,35067.1
1001155,2010,C,8263.8
1001195,2010,C,4731.2
1001229,2010,D,11956.0
1001231,2010,C,50103.5
1001236,2010,C,111544.0
1001237,2010,AA,673752.1
1001237,2010,C,7884.1
1001244,2010,C,22099.1
1001245,2010,C,407680.7
1001267,2010,C,6443.0
1001293,2010,C,94.3
1001425,2010,D,10487.9
1001438,2010,C,1035.7
1001455,2010,D,1360.5
1001456,2010,D,96791.6
1001457,2010,D,16841.2
1001474,2010,D,400436.7
1001498,2010,C,5.2
1001507,2010,D,257.5
1001510,2010,D,471.2
1001556,2010,C,96.1
1001646,2010,C,98858.5
1001675,2010,C,6251.5
1001678,2010,C,13.6
1001680,2010,C,13491.9
1001732,2010,C,52.0
1001733,2010,AA,711859.0
1001733,2010,C,562572.8
1001736,2010,C,14852.7
1001751,2010,C,435.0
1001762,2010,C,72589.9
1001807,2010,AA,1594841.0
1001807,2010,C,775157.0
1001809,2010,C,205.0
1001813,2010,C,203053.7
1001826,2010,C,9298.8
1001851,2010,C,6977.0
1001869,2010,C,93767.0
1001884,2010,C,427462.8
1001889,2010,AA,709985.6
1001889,2010,C,253676.0
1001892,2010,AA,727390.1
1001892,2010,C,316768.5
1001906,2010,AA,254283.0
1001906,2010,C,398930.9
1001912,2010,C,10299.1
1001923,2010,C,4416.4
1001925,2010,C,3.0
1001945,2010,C,3608.0
1001967,2010,C,656.0
1001995,2010,AA,853471.0
1001995,2010,C,306674.0
1002011,2010,C,16171.0
1002014,2010,C,4014.9
1002024,2010,AA,250902.0
1002024,2010,C,463147.0
1002032,2010,C,221.6
1002035,2010,C,731.0
1002036,2010,C,193597.5
1002037,2010,C,11063.0
1002047,2010,C,238.1
1002054,2010,C,58381.0
1002073,2010,C,307.9
1002098,2010,AA,404000.0
1002098,2010,C,354200.0
