FACILITY_ID,YEAR,SUBPART_NAME,CO2E_EMISSION
1000001,2010,C,293290.944
1000002,2010,C,78720.504
1000002,2010,N,29373.6
1000003,2010,C,54514.7
1000003,2010,N,23893.5
1000004,2010,C,41279.796
1000004,2010,N,21066.3
1000005,2010,C,60511.572
1000005,2010,N,13685.3
1000006,2010,C,37853.76
1000006,2010,N,4965.4
1000007,2010,C,284.548
1000010,2010,C,53.1
1000010,2010,HH,93543.0
1000015,2010,C,23936.256
1000016,2010,C,57417.554
1000017,2010,C,128757.06599999999
1000019,2010,C,253380.97
1000019,2010,S,6886.0
1000020,2010,C,49662.012
1000020,2010,N,13135.7
1000021,2010,C,65956.152
1000021,2010,N,30448.3
1000022,2010,C,30953.33
1000023,2010,C,77687.95599999999
1000023,2010,N,36442.4
1000024,2010,C,53491.100000000006
1000024,2010,N,20144.0
1000025,2010,C,380187.598
1000025,2010,Y,216625.674
1000026,2010,C,65941.174
1000026,2010,N,32486.3
1000027,2010,C,27515.780000000002
1000028,2010,C,56878.835999999996
1000028,2010,N,28061.3
1000029,2010,C,39072.086
1000029,2010,Q,56615.9
1000030,2010,C,319299.69399999996
1000031,2010,C,131.68695
1000031,2010,HH,83330.714925
1000032,2010,C,306360.59
1000033,2010,C,71652.68
1000034,2010,C,141764.54400000002
1000035,2010,C,177603.07
1000036,2010,C,228655.118
1000037,2010,C,34158.918
1000038,2010,C,22426.115999999998
1000039,2010,C,170.0
1000040,2010,C,57330.092000000004
1000041,2010,C,41408.144
1000043,2010,P,1311281.1
1000045,2010,C,46411.876
1000046,2010,C,4321.196
1000046,2010,HH,42144.5
1000047,2010,C,240933.28
1000049,2010,C,37.6
1000049,2010,D,3182.788
1000050,2010,D,747510.792
1000052,2010,D,3031064.116
1000053,2010,C,93283.346
1000056,2010,C,63060.14
1000056,2010,S,107229.5
1000058,2010,D,2926.088
1000059,2010,D,1261583.776
1000060,2010,C,61.2
1000060,2010,D,9758.418000000001
1000061,2010,C,259.9
1000061,2010,D,28253.274
1000062,2010,C,68844.728
1000063,2010,C,179171.02
1000064,2010,C,64423.792
1000065,2010,D,7003.424
1000066,2010,C,74328.434
1000067,2010,D,8161.42
1000068,2010,C,1150.096
1000068,2010,D,687409.352
1000069,2010,C,197.0
1000069,2010,D,118298.012
1000070,2010,C,0.2
1000070,2010,D,1287591.4279999998
1000072,2010,C,27868.044
1000074,2010,D,849.996
1000075,2010,D,1029.596
1000076,2010,D,3170.388
1000077,2010,C,72737.876
1000078,2010,D,11816.856
1000079,2010,C,131177.43000000002
1000080,2010,D,4277.384
1000081,2010,D,4240.384
1000082,2010,D,4238.384
