EPA_FUEL_TYPE,MECS_FT,Biogenic
Anthracite,Coal,FALSE
Bituminous,Coal,FALSE
Subbituminous,Coal,FALSE
Lignite,Coal,FALSE
Coal Coke,Coal,FALSE
Mixed (Commercial sector),Coal,FALSE
Mixed (Industrial coking),Coal,FALSE
Mixed (Industrial sector),Coal,FALSE
Mixed (Electric Power sector),Coal,FALSE
Natural Gas (Weighted U.S. Average),Natural_gas,FALSE
Distillate Fuel Oil No. 1,Diesel,FALSE
Distillate Fuel Oil No. 2,Diesel,FALSE
Distillate Fuel Oil No. 4,Diesel,FALSE
Residual Fuel Oil No. 5,Residual_fuel_oil,FALSE
Residual Fuel Oil No. 6,Residual_fuel_oil,FALSE
Used Oil,Other,FALSE
Kerosene,Other,FALSE
Liquefied petroleum gases (LPG),LPG_NGL,FALSE
Propane,LPG_NGL,FALSE
Propylene,LPG_NGL,FALSE
Ethane,LPG_NGL,FALSE
Ethanol,Other,TRUE
Ethylene,LPG_NGL,FALSE
Isobutane,LPG_NGL,FALSE
Isobutylene,LPG_NGL,FALSE
Butane,LPG_NGL,FALSE
Butylene,LPG_NGL,FALSE
Naphtha (<401 deg F),Other,FALSE
Natural Gasoline,LPG_NGL,FALSE
Other Oil (>401 deg F),Other,FALSE
Pentanes Plus,LPG_NGL,FALSE
Petrochemical Feedstocks,Other,FALSE
Petroleum Coke,Other,FALSE
Special Naphtha,Other,FALSE
Unfinished Oils,Other,FALSE
Heavy Gas Oils,Other,FALSE
Lubricants,Other,FALSE
Motor Gasoline,Other,FALSE
Aviation Gasoline,Other,FALSE
Kerosene-Type Jet Fuel,Other,FALSE
Asphalt and Road Oil,Other,FALSE
Crude Oil,Other,FALSE
Municipal Solid Waste,Other,FALSE
Tires,Other,FALSE
Plastics,Other,FALSE
Blast Furnace Gas,Other,FALSE
Coke Oven Gas,Other,FALSE
Propane Gas,LPG_NGL,FALSE
Fuel Gas,Other,FALSE
Wood and Wood Residuals (dry basis),Other,TRUE
Agricultural Byproducts,Other,TRUE
Peat,Other,TRUE
Solid Byproducts,Other,TRUE
Landfill Gas,Other,TRUE
Other Biomass Gases,Other,TRUE
Biomass Ethanol,Other,TRUE
Biodiesel,Other,TRUE
Rendered Animal Fat,Other,TRUE
Vegetable Oil,Other,TRUE
Biogas (Captured methane),Other,TRUE
Wood and Wood Residuals,Other,TRUE
Coke,Coal,FALSE
Ethanol (100%),Other,TRUE
Biodiesel (100%),Other,TRUE
Waste oil,Other,FALSE
OCCrejects,Other,TRUE
OCCRejects,Other,TRUE
OCC Rejects,Other,TRUE
Wastewater Treatment Plant Sludge,Other,TRUE
